deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
31,2024-05-26 19:45:35,AVAXUSDT,5m,long,1.04,37.0,37.413,36.662,1.12,0.91,37.04,36.65,0.11,0.95,36.69,-0.84,loss,2024-05-27 00:04:03,
32,2024-05-27 07:05:06,ETHUSDT,5m,short,2.61,3913.4,3818.403,3945.445,2.43,0.82,3889.17,3946.17,0.62,0.84,3945.8,-0.83,loss,2024-05-27 11:26:07,RSI:51;
33,2024-05-27 20:11:09,JOEUSDT,5m,short,1.31,0.503,0.4922,0.5105,2.14,1.5,0.4919,0.5065,2.21,0.7,0.4929,2.01,win,2024-05-27 22:51:09,RSI:54;
34,2024-05-28 05:50:29,OPUSDT,5m,long,2.15,2.56,2.611,2.539,2.0,0.81,2.566,2.537,0.23,0.9,2.537,-0.9,loss,2024-05-28 06:37:03,
35,2024-05-28 09:20:51,GALAUSDT,5m,long,1.86,0.04382,0.04479,0.04335,2.22,1.07,0.04496,0.04341,2.6,0.94,0.04495,2.58,win,2024-05-28 13:12:03,RSI:49;
36,2024-05-29 00:15:53,GALAUSDT,5m,short,1.22,0.04584,0.04513,0.04636,1.56,1.13,0.04582,0.04649,0.04,1.42,0.04633,-1.07,loss,2024-05-29 01:06:07,RSI:52;
37,2024-05-29 12:05:12,ARBUSDT,5m,long,1.35,1.176,1.19,1.167,1.18,0.74,1.185,1.166,0.77,0.85,1.167,-0.77,loss,2024-05-29 15:38:03,RSI:47;
38,2024-05-29 16:15:23,DOTUSDT,5m,long,1.2,7.39,7.51,7.3,1.63,1.21,7.397,7.296,0.09,1.27,7.299,-1.23,loss,2024-05-29 16:47:03,RSI:49;
39,2024-05-29 19:55:07,ETHUSDT,5m,long,1.43,3767.89,3818.927,3737.366,1.35,0.81,3801.65,3735.37,0.9,0.86,3735.62,-0.86,loss,2024-05-30 09:56:09,
40,2024-05-29 23:40:55,LINAUSDT,5m,long,4.12,0.008265,0.008818,0.008139,6.69,1.53,0.008496,0.008132,2.79,1.61,0.008145,-1.45,loss,2024-05-30 09:24:04,RSI:47;
41,2024-05-29 23:50:59,LUNAUSDT,5m,long,1.48,0.6054,0.6151,0.5997,1.6,0.94,0.616,0.6024,1.75,0.5,0.6159,1.73,win,2024-05-30 05:31:11,RSI:45;
42,2024-05-30 03:55:53,LINAUSDT,5m,short,1.51,0.008407,0.008215,0.008523,2.28,1.38,0.008195,0.008462,2.52,0.65,0.008195,2.52,win,2024-05-30 09:23:05,
43,2024-05-30 11:35:47,NEARUSDT,5m,long,3.21,7.294,7.631,7.197,4.63,1.34,7.542,7.181,3.4,1.55,7.184,-1.51,loss,2024-05-31 17:02:04,RSI:39;
44,2024-05-30 15:20:37,MAGICUSDT,5m,short,1.6,0.8331,0.8218,0.8391,1.35,0.72,0.8328,0.8394,0.04,0.76,0.8391,-0.72,loss,2024-05-30 15:24:03,RSI:55;
45,2024-05-30 17:45:50,ETCUSDT,5m,short,1.15,30.16,29.838,30.394,1.07,0.78,29.94,30.41,0.73,0.83,30.4,-0.8,loss,2024-05-30 20:31:11,RSI:52;
46,2024-05-31 00:45:13,ARBUSDT,5m,long,1.32,1.135,1.147,1.126,1.14,0.72,1.135,1.125,0.0,0.88,1.126,-0.79,loss,2024-05-31 03:27:03,
47,2024-05-31 10:30:39,MAGICUSDT,5m,long,2.52,0.8392,0.8599,0.8319,2.47,0.87,0.8433,0.8314,0.49,0.93,0.8323,-0.82,loss,2024-05-31 12:21:14,RSI:42;
48,2024-05-31 16:15:12,ARBUSDT,5m,short,1.74,1.154,1.135,1.164,1.63,0.81,1.134,1.1542,1.73,0.0,1.134,1.73,win,2024-05-31 17:02:03,RSI:55;
49,2024-05-31 20:05:12,ARBUSDT,5m,long,1.02,1.126,1.137,1.117,0.95,0.77,1.138,1.119,1.07,0.62,1.138,1.07,win,2024-06-01 00:33:04,RSI:49;
50,2024-05-31 21:11:01,LUNAUSDT,5m,long,2.86,0.658,0.6753,0.6527,2.63,0.81,0.6741,0.6523,2.45,0.87,0.6525,-0.84,loss,2024-06-01 09:26:11,RSI:49;
51,2024-06-02 01:51:03,EDUUSDT,5m,long,3.05,0.886,0.9106,0.8788,2.78,0.81,0.8894,0.8787,0.38,0.82,0.8788,-0.81,loss,2024-06-02 02:49:03,RSI:48;
52,2024-06-02 02:35:55,LINAUSDT,5m,short,1.91,0.00871,0.008556,0.00878,1.77,0.81,0.008553,0.00871,1.8,0.0,0.008555,1.78,win,2024-06-02 03:11:08,RSI:53;
53,2024-06-02 08:06:04,EDUUSDT,5m,short,1.35,0.9116,0.9001,0.9189,1.27,0.8,0.8974,0.9132,1.56,0.18,0.9016,1.1,win,2024-06-02 08:32:03,RSI:52;
54,2024-06-02 10:50:54,LINAUSDT,5m,long,2.4,0.009279,0.01082,0.008646,16.65,6.82,0.01111,0.009224,19.73,0.59,0.01102,18.76,win,2024-06-04 07:03:04,RSI:48;
55,2024-06-02 11:45:12,ARBUSDT,5m,long,1.27,1.123,1.136,1.115,1.14,0.75,1.123,1.114,0.0,0.8,1.114,-0.8,loss,2024-06-02 12:27:04,RSI:45;
56,2024-06-02 19:16:09,JOEUSDT,5m,short,1.06,0.4763,0.4713,0.4803,1.06,0.85,0.4712,0.4779,1.07,0.34,0.472,0.9,win,2024-06-02 20:14:03,RSI:52;
