deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
32,2023-06-22 17:35:36,SUIUSDT,5m,short,4.72,0.8177,0.7635,0.8284,6.62,1.31,0.8041,0.8305,1.66,1.57,0.8295,-1.44,loss,2023-06-22 19:10:49,
33,2023-06-22 17:40:11,LUNCUSDT,5m,short,6.74,8.986e-05,7.871e-05,9.143e-05,12.41,1.75,8.88e-05,9.151e-05,1.18,1.84,9.13e-05,-1.6,loss,2023-06-22 22:20:46,
34,2023-06-22 17:45:07,BTCUSDT,5m,short,1.32,29735.36,29521.296,29855.624,0.72,0.4,29657.97,29945.21,0.26,0.71,29932.88,-0.66,loss,2023-06-22 18:06:12,
35,2023-06-22 17:45:37,EDUUSDT,5m,short,1.32,0.7934,0.7713,0.8091,2.79,1.97,0.7877,0.8098,0.72,2.07,0.8088,-1.94,loss,2023-06-22 19:32:14,
36,2023-06-22 18:35:17,APTUSDT,5m,long,1.0,7.475,7.573,7.388,1.31,1.16,7.595,7.466,1.61,0.12,7.594,1.59,win,2023-06-22 19:30:46,
37,2023-06-22 19:10:21,SOLUSDT,5m,long,1.99,16.95,17.182,16.854,1.37,0.57,17.09,16.83,0.83,0.71,16.85,-0.59,loss,2023-06-22 19:47:20,
38,2023-06-22 19:10:23,OPUSDT,5m,long,1.5,1.385,1.399,1.378,0.98,0.52,1.385,1.375,0.0,0.72,1.375,-0.72,loss,2023-06-22 19:18:18,
39,2023-06-22 19:10:28,DYDXUSDT,5m,long,1.87,1.86,1.88,1.852,1.08,0.45,1.885,1.855,1.34,0.27,1.885,1.34,win,2023-06-22 19:32:13,
40,2023-06-22 19:10:38,FILUSDT,5m,long,1.77,3.926,3.984,3.898,1.47,0.7,3.991,3.903,1.66,0.59,3.989,1.6,win,2023-06-22 21:11:13,
41,2023-06-22 19:15:20,MATICUSDT,5m,long,1.57,0.6706,0.6782,0.6666,1.13,0.59,0.6742,0.6638,0.54,1.01,0.6642,-0.95,loss,2023-06-22 19:47:18,
42,2023-06-22 19:15:37,EDUUSDT,5m,long,1.31,0.8055,0.8211,0.7948,1.93,1.33,0.8098,0.7939,0.53,1.44,0.7954,-1.25,loss,2023-06-22 21:51:13,
43,2023-06-22 19:20:21,OPUSDT,5m,short,1.36,1.371,1.341,1.391,2.22,1.49,1.371,1.392,0.0,1.53,1.39,-1.39,loss,2023-06-22 19:31:19,
44,2023-06-22 19:25:30,MAGICUSDT,5m,long,1.24,0.8202,0.8294,0.814,1.12,0.76,0.8288,0.8126,1.05,0.93,0.8126,-0.93,loss,2023-06-22 19:47:15,
45,2023-06-22 19:30:17,APTUSDT,5m,long,1.75,7.594,7.714,7.534,1.59,0.78,7.736,7.5937,1.87,0.0,7.722,1.69,win,2023-06-22 19:36:11,
46,2023-06-22 19:30:19,SOLUSDT,5m,long,2.18,16.99,17.19,16.918,1.18,0.42,17.09,16.83,0.59,0.94,16.85,-0.82,loss,2023-06-22 19:47:21,
47,2023-06-22 19:30:30,MASKUSDT,5m,long,3.57,3.821,3.972,3.783,3.96,1.0,3.836,3.776,0.39,1.18,3.777,-1.15,loss,2023-06-22 19:47:17,
48,2023-06-22 19:30:32,NEARUSDT,5m,long,1.33,1.343,1.361,1.331,1.37,0.89,1.346,1.329,0.22,1.04,1.33,-0.97,loss,2023-06-22 19:47:19,
49,2023-06-22 19:30:42,EDUUSDT,5m,long,1.09,0.8067,0.8213,0.7946,1.81,1.51,0.8098,0.7939,0.38,1.59,0.7954,-1.4,loss,2023-06-22 21:51:14,
50,2023-06-22 19:50:26,ETCUSDT,5m,short,4.37,16.7,16.052,16.832,3.88,0.79,16.68,16.84,0.12,0.84,16.83,-0.78,loss,2023-06-22 20:45:43,
51,2023-06-22 19:50:32,LINAUSDT,5m,short,1.42,0.01413,0.01351,0.01454,4.39,2.96,0.01335,0.0144,5.52,1.91,0.01349,4.53,win,2023-06-23 16:49:19,
52,2023-06-22 20:10:20,APTUSDT,5m,short,2.9,7.556,7.327,7.626,3.02,0.93,7.551,7.627,0.07,0.94,7.617,-0.81,loss,2023-06-22 20:35:44,
53,2023-06-22 20:35:36,SUIUSDT,5m,long,1.03,0.8247,0.8513,0.8001,3.22,2.98,0.83,0.7901,0.64,4.2,0.7986,-3.16,loss,2023-06-23 00:29:20,
54,2023-06-22 20:40:13,BNBUSDT,5m,long,1.92,244.5,247.38,243.3,1.18,0.49,245.2,243.2,0.29,0.53,243.4,-0.45,loss,2023-06-22 23:41:12,
55,2023-06-22 20:45:26,NEARUSDT,5m,long,1.38,1.34,1.361,1.327,1.55,0.99,1.356,1.326,1.19,1.04,1.326,-1.04,loss,2023-06-23 01:57:23,
56,2023-06-22 20:50:28,NEARUSDT,5m,long,2.19,1.342,1.361,1.335,1.43,0.54,1.346,1.334,0.3,0.6,1.334,-0.6,loss,2023-06-22 21:42:18,
57,2023-06-22 21:30:20,APTUSDT,5m,short,2.8,7.589,7.334,7.671,3.36,1.09,7.333,7.621,3.37,0.42,7.35,3.15,win,2023-06-23 01:59:11,
58,2023-06-22 21:40:17,APTUSDT,5m,short,2.68,7.586,7.333,7.672,3.33,1.13,7.328,7.592,3.4,0.08,7.33,3.37,win,2023-06-23 02:05:45,
59,2023-06-22 21:40:39,LINAUSDT,5m,short,2.26,0.01422,0.01392,0.01434,2.13,0.83,0.01391,0.01425,2.18,0.21,0.01392,2.11,win,2023-06-23 01:57:19,
60,2023-06-22 21:45:24,DOGEUSDT,5m,short,7.31,0.06622,0.06306,0.06659,4.77,0.56,0.06542,0.06663,1.21,0.62,0.06659,-0.56,loss,2023-06-23 11:31:13,
61,2023-06-22 21:45:39,SUIUSDT,5m,short,8.12,0.8196,0.7639,0.8257,6.79,0.75,0.8167,0.8266,0.35,0.85,0.8266,-0.85,loss,2023-06-22 22:44:17,
62,2023-06-22 21:55:17,SOLUSDT,5m,short,1.8,16.91,16.678,17.018,1.37,0.64,16.66,16.95,1.48,0.24,16.66,1.48,win,2023-06-23 01:47:21,
63,2023-06-22 22:20:36,LUNAUSDT,5m,long,27.25,0.6443,0.7831,0.6397,21.54,0.71,0.645,0.6364,0.11,1.23,0.6443,0.0,loss,2023-06-22 22:20:45,
64,2023-06-22 22:30:40,JOEUSDT,5m,short,1.67,0.394,0.3902,0.3958,0.97,0.46,0.394,0.396,0.0,0.51,0.3959,-0.48,loss,2023-06-22 22:55:54,
65,2023-06-22 22:45:37,ATOMUSDT,5m,long,33.32,9.181,11.032,9.133,20.16,0.52,9.206,9.131,0.27,0.54,9.133,-0.52,loss,2023-06-22 23:26:12,
66,2023-06-22 22:55:07,BTCUSDT,5m,long,3.1,30162.65,30672.53,30030.242,1.69,0.44,30256.76,30018.93,0.31,0.48,30034.79,-0.42,loss,2023-06-23 00:28:13,
67,2023-06-22 23:05:21,OPUSDT,5m,short,1.12,1.384,1.374,1.391,0.75,0.52,1.372,1.389,0.87,0.36,1.373,0.79,win,2023-06-23 01:34:20,
68,2023-06-22 23:25:14,LTCUSDT,5m,short,2.16,85.71,84.43,86.202,1.49,0.57,85.56,86.26,0.18,0.64,86.21,-0.58,loss,2023-06-23 00:05:52,
69,2023-06-22 23:25:20,OPUSDT,5m,short,1.2,1.383,1.373,1.389,0.69,0.43,1.372,1.388,0.8,0.36,1.373,0.72,win,2023-06-23 01:34:20,
70,2023-06-22 23:25:21,DOGEUSDT,5m,short,6.14,0.06624,0.06306,0.0667,4.79,0.69,0.06525,0.06677,1.49,0.8,0.06673,-0.74,loss,2023-06-23 18:19:14,
71,2023-06-22 23:25:37,FILUSDT,5m,short,1.02,3.946,3.912,3.974,0.87,0.7,3.909,3.959,0.94,0.33,3.912,0.86,win,2023-06-23 01:58:19,
72,2023-06-22 23:30:13,BNBUSDT,5m,short,4.03,243.3,233.14,245.58,4.18,0.94,239.4,245.7,1.6,0.99,245.5,-0.9,loss,2023-06-23 18:19:12,
73,2023-06-22 23:30:17,APTUSDT,5m,short,7.23,7.48,7.175,7.516,4.08,0.47,7.289,7.537,2.55,0.76,7.535,-0.74,loss,2023-06-23 18:07:11,
